                   ¹               t_otn                   U                   V                   R                 Phi               Psi_U               Psi_V               Psi_R             Psi_Phi                   H                Teta           Teta_grad               t_abs
                  31               0.031         943.9568192         30037.54012     1.500953007e+11        0.2160527711         710.5281404         1023.383655     0.0002324110829                   0     2.313718106e-10       -0.3432796168        -19.66847326         1080775.112
                  32               0.032          976.922757         30041.15723     1.501287848e+11        0.2230294577         709.5416685         1013.703408     0.0002318261929                   0     2.315490022e-10       -0.3417533967        -19.58102729         1115638.825
                  33               0.033         1010.017051         30044.50695     1.501634205e+11        0.2300053706         708.5073549         1004.043886     0.0002312406621                   0     2.317195325e-10        -0.340224708        -19.49343988         1150502.539
                  34               0.034         1043.236895         30047.58825     1.501992122e+11        0.2369803944          707.425267         994.4057984      0.000230654568                   0     2.318796266e-10       -0.3386935906        -19.40571332         1185366.252
                  35               0.035         1076.579465         30050.40009     1.502361641e+11        0.2439544131         706.2954778         984.7898518     0.0002300679882                   0     2.320317272e-10       -0.3371600856        -19.31784995         1220229.965
                  36               0.036         1110.041918         30052.94148     1.502742807e+11        0.2509273109         705.1180652         975.1967506     0.0002294810001                   0     2.321740578e-10       -0.3356242352        -19.22985221         1255093.678
                  37               0.037         1143.621397         30055.21148     1.503135659e+11        0.2578989712         703.8931124         965.6271963     0.0002288936814                   0     2.323081727e-10        -0.334086083        -19.14172258         1289957.392
                  38               0.038         1177.315024         30057.20917     1.503540238e+11        0.2648692774         702.6207077         956.0818879     0.0002283061095                   0     2.324329618e-10       -0.3325456735        -19.05346361         1324821.105
                  39               0.039          1211.11991         30058.93366     1.503956583e+11        0.2718381125         701.3009447         946.5615215     0.0002277183619                   0     2.325482029e-10       -0.3310030527        -18.96507795         1359684.818
                  40                0.04         1245.033147         30060.38411     1.504384733e+11        0.2788053593          699.933922         937.0667901     0.0002271305159                   0     2.326543402e-10       -0.3294582678         -18.8765683         1394548.532
                  41               0.041         1279.051814         30061.55971     1.504824725e+11        0.2857709003         698.5197433          927.598384     0.0002265426487                   0     2.327511517e-10       -0.3279113673        -18.78793743         1429412.245
                  42               0.042         1313.172975         30062.45968     1.505276595e+11         0.292734618         697.0585175         918.1569901     0.0002259548375                   0     2.328381932e-10        -0.326362401         -18.6991882         1464275.958
                  43               0.043          1347.39368         30063.08327     1.505740378e+11        0.2996963944         695.5503586         908.7432919     0.0002253671593                   0     2.329145765e-10       -0.3248114201        -18.61032354         1499139.671
                  44               0.044         1381.710966          30063.4298     1.506216109e+11        0.3066561116         693.9953857         899.3579699     0.0002247796909                   0     2.329803017e-10       -0.3232584772        -18.52134646         1534003.385
                  45               0.045         1416.121859         30063.49859     1.506703821e+11        0.3136136513         692.3937228         890.0017006      0.000224192509                   0     2.330378113e-10       -0.3217036261        -18.43226006         1568867.098
                  46               0.046          1450.62337         30063.28902     1.507203545e+11        0.3205688954         690.7454992         880.6751574     0.0002236056899                   0     2.330846627e-10       -0.3201469223         -18.3430675         1603730.811
                  47               0.047         1485.212502         30062.80049     1.507715313e+11        0.3275217252          689.050849         871.3790097     0.0002230193099                   0     2.331224103e-10       -0.3185884226        -18.25377204         1638594.525
                  48               0.048         1519.886245         30062.03244     1.508239155e+11        0.3344720224         687.3099114          862.113923      0.000222433445                   0     2.331499438e-10       -0.3170281852        -18.16437703         1673458.238
                  49               0.049         1554.641579         30060.98437       1.5087751e+11        0.3414196683         685.5228305         852.8805591     0.0002218481708                   0     2.331672633e-10       -0.3154662701        -18.07488588         1708321.951
                  50                0.05         1589.475474         30059.65579     1.509323176e+11        0.3483645443         683.6897554         843.6795756     0.0002212635627                   0     2.331741467e-10       -0.3139027385        -17.98530212         1743185.664
                  51               0.051         1624.384894         30058.04626     1.509883409e+11        0.3553065317         681.8108402         834.5116261      0.000220679696                   0      2.33170816e-10       -0.3123376535        -17.89562936         1778049.378
                  52               0.052          1659.36679         30056.15538     1.510455826e+11        0.3622455117         679.8862436         825.3773597     0.0002200966452                   0     2.331574933e-10       -0.3107710796        -17.80587128         1812913.091
                  53               0.053         1694.418109         30053.98278     1.511040451e+11        0.3691813657         677.9161294         816.2774214     0.0002195144849                   0     2.331335125e-10        -0.309203083        -17.71603169         1847776.804
                  54               0.054         1729.535789         30051.52813     1.511637308e+11         0.376113975         675.9006662         807.2124517     0.0002189332891                   0     2.331002058e-10       -0.3076337315        -17.62611448         1882640.518
                  55               0.055         1764.716762         30048.79116     1.512246419e+11        0.3830432209         673.8400272         798.1830864     0.0002183531316                   0     2.330566851e-10       -0.3060630949        -17.53612363         1917504.231
